,problem ticker,ipo_date
0,BRCB,nan
1,BRCB,nan
2,GEMI,nan
3,GEMI,nan
4,LGN,nan
5,LGN,nan
6,VIA,nan
7,VIA,nan
8,FIGR,nan
9,FIGR,nan
10,LBRX,nan
11,LBRX,nan
12,BLZRU,nan
13,BLZRU,nan
14,KLAR,nan
15,KLAR,nan
16,PAII,nan
17,PAII,nan
18,ORIQ,nan
19,ORIQ,nan
20,SPEG,nan
21,SPEG,nan
22,TLNCU,nan
23,TLNCU,nan
24,ZGM,nan
25,ZGM,nan
26,SOCA,nan
27,SOCA,nan
28,FCHL,nan
29,FCHL,nan
30,GSRFU,nan
31,GSRFU,nan
32,SVACU,nan
33,SVACU,nan
34,NMP,nan
35,NMP,nan
36,ELVR,nan
37,ELVR,nan
38,PMI,nan
39,PMI,nan
40,ELOG,nan
41,ELOG,nan
42,TGHL,nan
43,TGHL,nan
44,THH,nan
45,THH,nan
46,APAD,nan
47,APAD,nan
48,KOYNU,nan
49,KOYNU,nan
50,MBVIU,nan
51,MBVIU,nan
52,CURX,nan
53,CURX,nan
54,CCII,nan
55,CCII,nan
56,EVAC,nan
57,EVAC,nan
58,VNME,nan
59,VNME,nan
60,CEPF,nan
61,CEPF,nan
62,ETS,nan
63,ETS,nan
64,BCAR,nan
65,BCAR,nan
66,YMT,nan
67,YMT,nan
68,FIGX,nan
69,FIGX,nan
70,LWAC,nan
71,LWAC,nan
72,NUTR,nan
73,NUTR,nan
74,OBA,nan
75,OBA,nan
76,PACH,nan
77,PACH,nan
78,BUUU,nan
79,BUUU,nan
80,MIAX,nan
81,MIAX,nan
82,RYOJ,nan
83,RYOJ,nan
84,BLSH,nan
85,BLSH,nan
86,NSRX,nan
87,NSRX,nan
88,HVMCU,nan
89,HVMCU,nan
90,MAGH,nan
91,MAGH,nan
92,MKLYU,nan
93,MKLYU,nan
94,DKI,nan
95,DKI,nan
96,EFTY,nan
97,EFTY,nan
98,HTFL,nan
99,HTFL,nan
100,SSEAU,nan
101,SSEAU,nan
102,BSAA,nan
103,BSAA,nan
104,CFND,nan
105,CFND,nan
106,FLY,nan
107,FLY,nan
108,WYFI,nan
109,WYFI,nan
110,CTW,nan
111,CTW,nan
112,QUMSU,nan
113,QUMSU,nan
114,BACC,nan
115,BACC,nan
116,RUBI,nan
117,RUBI,nan
118,AVBC,nan
119,AVBC,nan
120,AXIN,nan
121,AXIN,nan
122,HCMAU,nan
123,HCMAU,nan
124,BLUW,nan
125,BLUW,nan
126,FIG,nan
127,FIG,nan
128,SI,nan
129,SI,nan
130,AMBQ,nan
131,AMBQ,nan
132,APADU,nan
133,APADU,nan
134,INAC,nan
135,INAC,nan
136,YMAT,nan
137,YMAT,nan
138,GTERA,nan
139,GTERA,nan
140,MCGA,nan
141,MCGA,nan
142,STRC,nan
143,STRC,nan
144,ARX,nan
145,ARX,nan
